+-------------+----------+---------------------+
| order_date  |  region  |     daily_sales     |
+-------------+----------+---------------------+
| 2014-01-03  | Central  | 16.448              |
| 2014-01-04  | Central  | 288.06              |
| 2014-01-05  | East     | 19.536              |
| 2014-01-06  | South    | 4387.66             |
| 2014-01-06  | West     | 19.44               |
| 2014-01-07  | Central  | 87.15799999999999   |
| 2014-01-09  | Central  | 40.544              |
| 2014-01-10  | South    | 54.83               |
| 2014-01-11  | East     | 9.94                |
| 2014-01-13  | South    | 1833.2              |
| 2014-01-13  | West     | 1679.749            |
| 2014-01-13  | East     | 40.846000000000004  |
| 2014-01-14  | East     | 61.96               |
| 2014-01-15  | South    | 149.95              |
| 2014-01-16  | East     | 299.964             |
| 2014-01-18  | West     | 64.864              |
| 2014-01-19  | West     | 378.594             |
| 2014-01-20  | South    | 1926.594            |
| 2014-01-20  | Central  | 708.6160000000001   |
| 2014-01-20  | West     | 38.66               |
| 2014-01-21  | South    | 25.248              |
| 2014-01-23  | West     | 40.08               |
| 2014-01-23  | Central  | 5.94                |
| 2014-01-26  | South    | 944.61              |
| 2014-01-26  | Central  | 152.64000000000001  |
| 2014-01-27  | West     | 426.67              |
| 2014-01-28  | East     | 3.928               |
| 2014-01-30  | Central  | 240.5               |
| 2014-01-31  | West     | 290.666             |
| 2014-02-01  | Central  | 468.9               |
| 2014-02-02  | South    | 199.296             |
| 2014-02-02  | West     | 12.35               |
| 2014-02-03  | West     | 97.11200000000001   |
| 2014-02-04  | West     | 134.384             |
| 2014-02-06  | South    | 321.56              |
| 2014-02-06  | Central  | 8.952               |
| 2014-02-07  | East     | 180.32              |
| 2014-02-08  | West     | 14.56               |
| 2014-02-11  | South    | 1508.13             |
| 2014-02-11  | Central  | 535.27              |
| 2014-02-12  | West     | 129.568             |
| 2014-02-14  | West     | 560.55              |
| 2014-02-14  | Central  | 16.176              |
| 2014-02-15  | West     | 21.36               |
| 2014-02-16  | Central  | 9.04                |
| 2014-02-17  | Central  | 54.208              |
| 2014-02-18  | Central  | 37.784              |
| 2014-02-20  | Central  | 82.63               |
| 2014-02-20  | West     | 12.96               |
| 2014-02-21  | Central  | 8.85                |
| 2014-02-22  | West     | 19.44               |
